gpu_type,gpu_hourly_usd,storage_price_per_gb_month,egress_price_per_gb
A100,2.6,0.0009,0.09
L40S,1.3,0.0009,0.09
H100,7.4,0.0009,0.09
H200,6.8,0.0009,0.09
B200,10.5,0.0009,0.09
